No,Name,Type,Abilities,HP,Att,Def,S.Att,S.Def,Spd
0010,Caterpie,bug,,45,30,35,20,20,45
0011,Metapod,bug,,50,20,55,25,25,30
0012,Butterfree,"bug, flying",,60,45,50,80,80,70
0013,Weedle,"bug, poison",,40,35,30,20,20,50
0014,Kakuna,"bug, poison",,45,25,50,25,25,35
0015,Beedrill,"bug, poison",,65,80,40,45,80,75
0046,Paras,"bug, grass",,35,70,55,45,55,25
0047,Parasect,"bug, grass",,60,95,80,60,80,30
0048,Venonat,"bug, poison",,60,55,50,40,55,45
0049,Venomoth,"bug, poison",,70,65,60,90,75,90
0123,Scyther,"bug, flying",,70,110,80,55,80,105
0127,Pinsir,bug,,65,125,100,55,70,85
0165,Ledyba,"bug, flying",,40,20,30,40,80,55
0166,Ledian,"bug, flying",,55,35,50,55,110,85
0167,Spinarak,"bug, poison",,40,60,40,40,40,30
0168,Ariados,"bug, poison",,70,90,70,60,60,40
0193,Yanma,"bug, flying",,65,65,45,75,45,95
0204,Pineco,bug,,50,65,90,35,35,15
0205,Forretress,"bug, steel",,75,90,140,60,60,40
0212,Scizor,"bug, steel",,70,130,100,55,80,65
0213,Shuckle,"bug, rock",,20,10,230,10,230,5
0214,Heracross,"bug, fighting",,80,125,75,40,95,85
0197,Umbreon,dark,,95,65,110,60,130,65
0198,Murkrow,"dark, flying",,60,85,42,85,42,91
0215,Sneasel,"dark, ice",,55,95,55,35,75,115
0228,Houndour,"dark, fire",,45,60,30,80,50,65
0229,Houndoom,"dark, fire",,75,90,50,110,80,95
0248,Tyranitar,"rock, dark",,100,134,110,95,100,61
0147,Dratini,dragon,,41,64,45,50,50,50
0148,Dragonair,dragon,,61,84,65,70,70,70
0149,Dragonite,"dragon, flying",,91,134,95,100,100,80
0230,Kingdra,"water, dragon",,75,95,95,95,95,85
0025,Pikachu,electric,,35,55,30,50,40,90
0026,Raichu,electric,,60,90,55,90,80,100
0081,Magnemite,"electric, steel",,25,35,70,95,55,45
0082,Magneton,"electric, steel",,50,60,95,120,70,70
0100,Voltorb,electric,,40,30,50,55,55,100
0101,Electrode,electric,,60,50,70,80,80,140
0125,Electabuzz,electric,,65,83,57,95,85,105
0135,Jolteon,electric,,65,65,60,110,95,130
0145,Zapdos,"electric, flying",,90,90,85,125,90,100
0170,Chinchou,"water, electric",,75,38,38,56,56,67
0171,Lanturn,"water, electric",,125,58,58,76,76,67
0172,Pichu,electric,,20,40,15,35,35,60
0179,Mareep,electric,,55,40,40,65,45,35
0180,Flaaffy,electric,,70,55,55,80,60,45
0181,Ampharos,electric,,90,75,75,115,90,55
0239,Elekid,electric,,45,63,37,65,55,95
0243,Raikou,electric,,90,85,75,115,100,115
0056,Mankey,fighting,,40,80,35,35,45,70
0057,Primeape,fighting,,65,105,60,60,70,95
0062,Poliwrath,"water, fighting",,90,85,95,70,90,70
0066,Machop,fighting,,70,80,50,35,35,35
0067,Machoke,fighting,,80,100,70,50,60,45
0068,Machamp,fighting,,90,130,80,65,85,55
0106,Hitmonlee,fighting,,50,120,53,35,110,87
0107,Hitmonchan,fighting,,50,105,79,35,110,76
0214,Heracross,"bug, fighting",,80,125,75,40,95,85
0236,Tyrogue,fighting,,35,35,35,35,35,35
0237,Hitmontop,fighting,,50,95,95,35,110,70
0004,Charmander,fire,,39,52,43,60,50,65
0005,Charmeleon,fire,,58,64,58,80,65,80
0006,Charizard,"fire, flying",,78,84,78,109,85,100
0037,Vulpix,fire,,38,41,40,50,65,65
0038,Ninetales,fire,,73,76,75,81,100,100
0058,Growlithe,fire,,55,70,45,70,50,60
0059,Arcanine,fire,,90,110,80,100,80,95
0077,Ponyta,fire,,50,85,55,65,65,90
0078,Rapidash,fire,,65,100,70,80,80,105
0126,Magmar,fire,,65,95,57,100,85,93
0136,Flareon,fire,,65,130,60,95,110,65
0146,Moltres,"fire, flying",,90,100,90,125,85,90
0155,Cyndaquil,fire,,39,52,43,60,50,65
0156,Quilava,fire,,58,64,58,80,65,80
0157,Typhlosion,fire,,78,84,78,109,85,100
0218,Slugma,fire,,40,40,40,70,40,20
0219,Magcargo,"fire, rock",,50,50,120,80,80,30
0228,Houndour,"dark, fire",,45,60,30,80,50,65
0229,Houndoom,"dark, fire",,75,90,50,110,80,95
0240,Magby,fire,,45,75,37,70,55,83
0244,Entei,fire,,115,115,85,90,75,100
0250,Ho-Oh,"fire, flying",,106,130,90,110,154,90
0006,Charizard,"fire, flying",,78,84,78,109,85,100
0012,Butterfree,"bug, flying",,60,45,50,80,80,70
0016,Pidgey,"normal, flying",,40,45,40,35,35,56
0017,Pidgeotto,"normal, flying",,63,60,55,50,50,71
0018,Pidgeot,"normal, flying",,83,80,75,70,70,91
0021,Spearow,"normal, flying",,40,60,30,31,31,70
0022,Fearow,"normal, flying",,65,90,65,61,61,100
0041,Zubat,"poison, flying",,40,45,35,30,40,55
0042,Golbat,"poison, flying",,75,80,70,65,75,90
0083,Farfetch'd,"normal, flying",,52,65,55,58,62,60
0084,Doduo,"normal, flying",,35,85,45,35,35,75
0085,Dodrio,"normal, flying",,60,110,70,60,60,100
0123,Scyther,"bug, flying",,70,110,80,55,80,105
0130,Gyarados,"water, flying",,95,125,79,60,100,81
0142,Aerodactyl,"rock, flying",,80,105,65,60,75,130
0144,Articuno,"ice, flying",,90,85,100,95,125,85
0145,Zapdos,"electric, flying",,90,90,85,125,90,100
0146,Moltres,"fire, flying",,90,100,90,125,85,90
0149,Dragonite,"dragon, flying",,91,134,95,100,100,80
0163,Hoothoot,"normal, flying",,60,30,30,36,56,50
0164,Noctowl,"normal, flying",,100,50,50,76,96,70
0165,Ledyba,"bug, flying",,40,20,30,40,80,55
0166,Ledian,"bug, flying",,55,35,50,55,110,85
0169,Crobat,"poison, flying",,85,90,80,70,80,130
0176,Togetic,"normal, flying",,55,40,85,80,105,40
0177,Natu,"psychic, flying",,40,50,45,70,45,70
0178,Xatu,"psychic, flying",,65,75,70,95,70,95
0187,Hoppip,"grass, flying",,35,35,40,35,55,50
0188,Skiploom,"grass, flying",,55,45,50,45,65,80
0189,Jumpluff,"grass, flying",,75,55,70,55,85,110
0193,Yanma,"bug, flying",,65,65,45,75,45,95
0198,Murkrow,"dark, flying",,60,85,42,85,42,91
0207,Gligar,"ground, flying",,65,75,105,35,65,85
0225,Delibird,"ice, flying",,45,55,45,65,45,75
0226,Mantine,"water, flying",,65,40,70,80,140,70
0227,Skarmory,"steel, flying",,65,80,140,40,70,70
0249,Lugia,"psychic, flying",,106,90,130,90,154,110
0250,Ho-Oh,"fire, flying",,106,130,90,110,154,90
0092,Gastly,"ghost, poison",,30,35,30,100,35,80
0093,Haunter,"ghost, poison",,45,50,45,115,55,95
0094,Gengar,"ghost, poison",,60,65,60,130,75,110
0200,Misdreavus,ghost,,60,60,60,85,85,85
0001,Bulbasaur,"grass, poison",,45,49,49,65,65,45
0002,Ivysaur,"grass, poison",,60,62,63,80,80,60
0003,Venusaur,"grass, poison",,80,82,83,100,100,80
0043,Oddish,"grass, poison",,45,50,55,75,65,30
0044,Gloom,"grass, poison",,60,65,70,85,75,40
0045,Vileplume,"grass, poison",,75,80,85,100,90,50
0046,Paras,"bug, grass",,35,70,55,45,55,25
0047,Parasect,"bug, grass",,60,95,80,60,80,30
0069,Bellsprout,"grass, poison",,50,75,35,70,30,40
0070,Weepinbell,"grass, poison",,65,90,50,85,45,55
0071,Victreebel,"grass, poison",,80,105,65,100,60,70
0102,Exeggcute,"grass, psychic",,60,40,80,60,45,40
0103,Exeggutor,"grass, psychic",,95,95,85,125,65,55
0114,Tangela,grass,,65,55,115,100,40,60
0152,Chikorita,grass,,45,49,65,49,65,45
0153,Bayleef,grass,,60,62,80,63,80,60
0154,Meganium,grass,,80,82,100,83,100,80
0182,Bellossom,grass,,75,80,85,90,100,50
0187,Hoppip,"grass, flying",,35,35,40,35,55,50
0188,Skiploom,"grass, flying",,55,45,50,45,65,80
0189,Jumpluff,"grass, flying",,75,55,70,55,85,110
0191,Sunkern,grass,,30,30,30,30,30,30
0192,Sunflora,grass,,75,75,55,105,85,30
0251,Celebi,"psychic, grass",,100,100,100,100,100,100
0027,Sandshrew,ground,,50,75,85,20,30,40
0028,Sandslash,ground,,75,100,110,45,55,65
0031,Nidoqueen,"poison, ground",,90,82,87,75,85,76
0034,Nidoking,"poison, ground",,81,92,77,85,75,85
0050,Diglett,ground,,10,55,25,35,45,95
0051,Dugtrio,ground,,35,80,50,50,70,120
0074,Geodude,"rock, ground",,40,80,100,30,30,20
0075,Graveler,"rock, ground",,55,95,115,45,45,35
0076,Golem,"rock, ground",,80,110,130,55,65,45
0095,Onix,"rock, ground",,35,45,160,30,45,70
0104,Cubone,ground,,50,50,95,40,50,35
0105,Marowak,ground,,60,80,110,50,80,45
0111,Rhyhorn,"ground, rock",,80,85,95,30,30,25
0112,Rhydon,"ground, rock",,105,130,120,45,45,40
0194,Wooper,"water, ground",,55,45,45,25,25,15
0195,Quagsire,"water, ground",,95,85,85,65,65,35
0207,Gligar,"ground, flying",,65,75,105,35,65,85
0208,Steelix,"steel, ground",,75,85,200,55,65,30
0220,Swinub,"ice, ground",,50,50,40,30,30,50
0221,Piloswine,"ice, ground",,100,100,80,60,60,50
0231,Phanpy,ground,,90,60,60,40,40,40
0232,Donphan,ground,,90,120,120,60,60,50
0246,Larvitar,"rock, ground",,50,64,50,45,50,41
0247,Pupitar,"rock, ground",,70,84,70,65,70,51
0087,Dewgong,"water, ice",,90,70,80,70,95,70
0091,Cloyster,"water, ice",,50,95,180,85,45,70
0124,Jynx,"ice, psychic",,65,50,35,115,95,95
0131,Lapras,"water, ice",,130,85,80,85,95,60
0144,Articuno,"ice, flying",,90,85,100,95,125,85
0215,Sneasel,"dark, ice",,55,95,55,35,75,115
0220,Swinub,"ice, ground",,50,50,40,30,30,50
0221,Piloswine,"ice, ground",,100,100,80,60,60,50
0225,Delibird,"ice, flying",,45,55,45,65,45,75
0238,Smoochum,"ice, psychic",,45,30,15,85,65,65
0016,Pidgey,"normal, flying",,40,45,40,35,35,56
0017,Pidgeotto,"normal, flying",,63,60,55,50,50,71
0018,Pidgeot,"normal, flying",,83,80,75,70,70,91
0019,Rattata,normal,,30,56,35,25,35,72
0020,Raticate,normal,,55,81,60,50,70,97
0021,Spearow,"normal, flying",,40,60,30,31,31,70
0022,Fearow,"normal, flying",,65,90,65,61,61,100
