No,Name,Type,Abilities,HP,Att,Def,S.Att,S.Def,Spd
0010,Caterpie,bug,,45,30,35,20,,45
0011,Metapod,bug,,50,20,55,25,,30
0012,Butterfree,"bug, flying",,60,45,50,80,,70
0013,Weedle,"bug, poison",,40,35,30,20,,50
0014,Kakuna,"bug, poison",,45,25,50,25,,35
0015,Beedrill,"bug, poison",,65,80,40,45,,75
0046,Paras,"bug, grass",,35,70,55,55,,25
0047,Parasect,"bug, grass",,60,95,80,80,,30
0048,Venonat,"bug, poison",,60,55,50,40,,45
0049,Venomoth,"bug, poison",,70,65,60,90,,90
0123,Scyther,"bug, flying",,70,110,80,55,,105
0127,Pinsir,bug,,65,125,100,55,,85
0147,Dratini,dragon,,41,64,45,50,,50
0148,Dragonair,dragon,,61,84,65,70,,70
0149,Dragonite,"dragon, flying",,91,134,95,100,,80
0025,Pikachu,electric,,35,55,30,50,,90
0026,Raichu,electric,,60,90,55,90,,100
0081,Magnemite,electric,,25,35,70,95,,45
0082,Magneton,electric,,50,60,95,120,,70
0100,Voltorb,electric,,40,30,50,55,,100
0101,Electrode,electric,,60,50,70,80,,140
0125,Electabuzz,electric,,65,83,57,85,,105
0135,Jolteon,electric,,65,65,60,110,,130
0145,Zapdos,"electric, flying",,90,90,85,125,,100
0035,Clefairy,normal,,70,45,48,60,,35
0036,Clefable,normal,,95,70,73,85,,60
0039,Jigglypuff,normal,,115,45,20,25,,20
0040,Wigglytuff,normal,,140,70,45,50,,45
0122,Mr. Mime,psychic,,40,45,65,100,,90
0056,Mankey,fighting,,40,80,35,35,,70
0057,Primeape,fighting,,65,105,60,60,,95
0062,Poliwrath,"water, fighting",,90,85,95,70,,70
0066,Machop,fighting,,70,80,50,35,,35
0067,Machoke,fighting,,80,100,70,50,,45
0068,Machamp,fighting,,90,130,80,65,,55
0106,Hitmonlee,fighting,,50,120,53,35,,87
0107,Hitmonchan,fighting,,50,105,79,35,,76
0004,Charmander,fire,,39,52,43,50,,65
0005,Charmeleon,fire,,58,64,58,65,,80
