No,Name,Type,Abilities,HP,Att,Def,S.Att,S.Def,Spd
0010,Caterpie,bug,"Shield Dust, Run Away",45,30,35,20,20,45
0011,Metapod,bug,Shed Skin,50,20,55,25,25,30
0012,Butterfree,"bug, flying","Compound Eyes, Tinted Lens",60,45,50,90,80,70
0013,Weedle,"bug, poison","Shield Dust, Run Away",40,35,30,20,20,50
0014,Kakuna,"bug, poison",Shed Skin,45,25,50,25,25,35
0015,Beedrill,"bug, poison","Swarm, Sniper",65,90,40,45,80,75
0015,Beedrill,"bug, poison",Adaptability,65,150,40,15,80,145
0046,Paras,"bug, grass","Effect Spore, Dry Skin, Damp",35,70,55,45,55,25
0047,Parasect,"bug, grass","Effect Spore, Dry Skin, Damp",60,95,80,60,80,30
0048,Venonat,"bug, poison","Compound Eyes, Tinted Lens, Run Away",60,55,50,40,55,45
0049,Venomoth,"bug, poison","Shield Dust, Tinted Lens, Wonder Skin",70,65,60,90,75,90
0123,Scyther,"bug, flying","Swarm, Technician, Steadfast",70,110,80,55,80,105
0127,Pinsir,bug,"Hyper Cutter, Mold Breaker, Moxie",65,125,100,55,70,85
0127,Pinsir,"bug, flying",Aerilate,65,155,120,65,90,105
0165,Ledyba,"bug, flying","Swarm, Early Bird, Rattled",40,20,30,40,80,55
0166,Ledian,"bug, flying","Swarm, Early Bird, Iron Fist",55,35,50,55,110,85
0167,Spinarak,"bug, poison","Swarm, Insomnia, Sniper",40,60,40,40,40,30
0168,Ariados,"bug, poison","Swarm, Insomnia, Sniper",70,90,70,60,70,40
0193,Yanma,"bug, flying","Speed Boost, Compound Eyes, Frisk",65,65,45,75,45,95
0204,Pineco,bug,"Sturdy, Overcoat",50,65,90,35,35,15
0205,Forretress,"bug, steel","Sturdy, Overcoat",75,90,140,60,60,40
0212,Scizor,"bug, steel","Swarm, Technician, Light Metal",70,130,100,55,80,65
0212,Scizor,"bug, steel",Technician,70,150,140,65,100,75
0213,Shuckle,"bug, rock","Sturdy, Gluttony, Contrary",20,10,230,10,230,5
0214,Heracross,"bug, fighting","Swarm, Guts, Moxie",80,125,75,40,95,85
0214,Heracross,"bug, fighting",Skill Link,80,185,115,40,105,75
0265,Wurmple,bug,"Shield Dust, Run Away",45,45,35,20,30,20
0266,Silcoon,bug,Shed Skin,50,35,55,25,25,15
0267,Beautifly,"bug, flying","Swarm, Rivalry",60,70,50,100,50,65
0268,Cascoon,bug,Shed Skin,50,35,55,25,25,15
0269,Dustox,"bug, poison","Shield Dust, Compound Eyes",60,50,70,50,90,65
0283,Surskit,"bug, water","Swift Swim, Rain Dish",40,30,32,50,52,65
0284,Masquerain,"bug, flying","Intimidate, Unnerve",70,60,62,100,82,80
0290,Nincada,"bug, ground","Compound Eyes, Run Away",31,45,90,30,30,40
0291,Ninjask,"bug, flying","Speed Boost, Infiltrator",61,90,45,50,50,160
0292,Shedinja,"bug, ghost",Wonder Guard,1,90,45,30,30,40
0313,Volbeat,bug,"Illuminate, Swarm, Prankster",65,73,75,47,85,85
0314,Illumise,bug,"Oblivious, Tinted Lens, Prankster",65,47,75,73,85,85
0347,Anorith,"rock, bug","Battle Armor, Swift Swim",45,95,50,40,50,75
0348,Armaldo,"rock, bug","Battle Armor, Swift Swim",75,125,100,70,80,45
0401,Kricketot,bug,"Shed Skin, Run Away",37,25,41,25,41,25
0402,Kricketune,bug,"Swarm, Technician",77,85,51,55,51,65
0412,Burmy,bug,"Shed Skin, Overcoat",40,29,45,29,45,36
0413,Wormadam,"bug, grass","Anticipation, Overcoat",60,59,85,79,105,36
0413,Wormadam,"bug, ground","Anticipation, Overcoat",60,79,105,59,85,36
0413,Wormadam,"bug, steel","Anticipation, Overcoat",60,69,95,69,95,36
0414,Mothim,"bug, flying","Swarm, Tinted Lens",70,94,50,94,50,66
