No,Name,Type,Abilities,HP,Att,Def,S.Att,S.Def,Spd
0048,Venonat,"bug, poison","Compoundeyes, Tinted Lens, Run Away",60,55,50,40,55,45
0049,Venomoth,"bug, poison","Shield Dust, Tinted Lens, Wonder Skin",70,65,60,90,75,90
0123,Scyther,"bug, flying","Swarm, Technician, Steadfast",70,110,80,55,80,105
0167,Spinarak,"bug, poison","Swarm, Insomnia, Sniper",40,60,40,40,40,30
0168,Ariados,"bug, poison","Swarm, Insomnia, Sniper",70,90,70,60,70,40
0193,Yanma,"bug, flying","Speed Boost, Compoundeyes, Frisk",65,65,45,75,45,95
0204,Pineco,bug,"Sturdy, Overcoat",50,65,90,35,35,15
0205,Forretress,"bug, steel","Sturdy, Overcoat",75,90,140,60,60,40
0212,Scizor,"bug, steel","Swarm, Technician, Light Metal",70,130,100,55,80,65
0214,Heracross,"bug, fighting","Swarm, Guts, Moxie",80,125,75,40,95,85
0283,Surskit,"bug, water","Swift Swim, Rain Dish",40,30,32,50,52,65
0284,Masquerain,"bug, flying","Intimidate, Unnerve",70,60,62,100,82,80
0313,Volbeat,bug,"Illuminate, Swarm, Prankster",65,73,75,47,85,85
0314,Illumise,bug,"Oblivious, Tinted Lens, Prankster",65,47,75,73,85,85
0401,Kricketot,bug,"Shed Skin, Run Away",37,25,41,25,41,25
0402,Kricketune,bug,"Swarm, Technician",77,85,51,55,51,65
0415,Combee,"bug, flying","Honey Gather, Hustle",30,30,42,30,42,70
0416,Vespiquen,"bug, flying","Pressure, Unnerve",70,80,102,80,102,40
0469,Yanmega,"bug, flying","Speed Boost, Tinted Lens, Frisk",86,76,86,116,56,95
0493,Arceus,bug,Multitype,120,120,120,120,120,120
0540,Sewaddle,"bug, grass","Swarm, Chlorophyll, Overcoat",45,53,70,40,60,42
0541,Swadloon,"bug, grass","Leaf Guard, Chlorophyll, Overcoat",55,63,90,50,80,42
0542,Leavanny,"bug, grass","Swarm, Chlorophyll, Overcoat",75,103,80,70,80,92
0595,Joltik,"bug, electric","Compoundeyes, Unnerve, Swarm",50,47,50,57,50,65
0596,Galvantula,"bug, electric","Compoundeyes, Unnerve, Swarm",70,77,60,97,60,108
0636,Larvesta,"bug, fire","Flame Body, Swarm",55,85,55,50,55,60
0637,Volcarona,"bug, fire","Flame Body, Swarm",85,60,65,135,105,100
0664,Scatterbug,bug,"Shield Dust, Compoundeyes, Friend Guard",38,35,40,27,25,35
0665,Spewpa,bug,"Shed Skin, Friend Guard",45,22,60,27,30,29
0666,Vivillon,"bug, flying","Shield Dust, Compoundeyes, Friend Guard",80,52,50,90,50,89
0736,Grubbin,bug,Swarm,47,62,45,55,45,46
0737,Charjabug,"bug, electric",Battery,57,82,95,55,75,36
0738,Vikavolt,"bug, electric",Levitate,77,70,90,145,75,43
0742,Cutiefly,"bug, fairy","Honey Gather, Shield Dust, Sweet Veil",40,45,40,55,40,84
